Task, Min_Duration, Max_Duration
Research and plan a career development strategy, 0, 0
Plan a visit to a natural history museum, 0, 0
Making instant coffee, 0, 0
Watch a TV show episode, 0, 0
Cook a new recipe, 0, 0
Volunteer at a community health clinic, 0, 0
Try a new type of ice cream, 0, 0
Create a DIY home decor project, 0, 0
Research investment options, 0, 0
Learn to make your own soap, 0, 0
Building a small bookshelf, 0, 0
Setting a table for one person, 0, 0
Learn to play the ukulele, 0, 0
Pray isha, 0, 0
Learn to play a musical instrument, 0, 0
Get milk from grocery store, 0, 0
Writing a shopping list, 0, 0
Take a class on sustainable living, 0, 0
Plan a visit to a science museum, 0, 0
Cooking in a communal kitchen, 0, 0
Planning a weekend getaway, 0, 0
Writing in a coffee shop, 0, 0
Join a local ultimate frisbee league, 0, 0
Designing a logo, 0, 0
Reading a short article, 0, 0
Volunteer at an animal rehabilitation center, 0, 0
Writing and recording a full-length album, 0, 0
Explore a nearby nature reserve, 0, 0
Plan a weekend camping trip, 0, 0
Join a local philosophy discussion group, 0, 0
Plan a day of outdoor rock climbing, 0, 0
Volunteer for a community gardening project, 0, 0
Attend a local dance performance, 0, 0
Volunteer at a community technology workshop, 0, 0
Meditate for 15 minutes, 0, 0
Take a painting class, 0, 0
Installing software on a computer, 0, 0
Join a local improv theater group, 0, 0
Try a new type of pasta salad, 0, 0
Attend a community meeting or event, 0, 0
Attend a local swing dance performance, 0, 0
Volunteer for a community orchestra, 0, 0
Volunteer for a disaster preparedness workshop, 0, 0
Complete a DIY home project, 0, 0
Creating a simple spreadsheet, 0, 0
Take a day trip to a nearby beach, 0, 0
Volunteer for a community bike repair initiative, 0, 0
Attend a local hip-hop dance performance, 0, 0
Get a manicure, 0, 0
Join a local poetry writing group, 0, 0
Take a creative writing class, 0, 0
Try a new type of international cuisine, 0, 0
Take an online course, 0, 0
Winterize lawnmower, 0, 0
Plan a day of indoor rock climbing, 0, 0
Designing and implementing a city park, 0, 0
Join a local archery class, 0, 0
Volunteer at a community science fair, 0, 0
Pick up prescription medication from the pharmacy, 0, 0
Try a new type of pasta dish, 0, 0
Bi-annual deep cleaning of the house, 0, 0
Attending a professional networking event, 0, 0
Annual tax preparation, 0, 0
Try a new type of coffee, 0, 0
Iron clothes for tomorrow, 0, 0
Learn to paddleboard, 0, 0
Join a local chess tournament, 0, 0
Call contractor to winterize irrigation system, 0, 0
Attend a local kite flying festival, 0, 0
Set up automatic bill payments for monthly expenses, 0, 0
Volunteer at a food bank, 0, 0
Complete database class homework, 0, 0
Text mom happy birthday, 0, 0
Try a new type of hot beverage, 0, 0
Volunteer at a local animal shelter, 0, 0
Cook a simple meal, 0, 0
Join a local book reading club, 0, 0
Attend a local wine and paint night, 0, 0
Plan a day of outdoor yoga, 0, 0
Weekly meal planning and grocery shopping, 0, 0
Plan a day of mountain biking, 0, 0
Sending a text message, 0, 0
Sending a one-sentence email, 0, 0
Get daily workout in, 0, 0
Conducting a scientific experiment with multiple steps, 0, 0
Purchase and install a new showerhead for better water, 0, 0
Volunteer at a community garden, 0, 0
Watch an introductory programming course, 0, 0
Volunteer for a community garden initiative, 0, 0
Implementing a company-wide software upgrade, 0, 0
Volunteer at a literacy tutoring program, 0, 0
Join a community book club, 0, 0
Join a chess club, 0, 0
Pray maghreb, 0, 0
Quarterly health check-ups, 0, 0
Plan and prepare a picnic, 0, 0
Attend a local community play, 0, 0
Weekly family game night, 0, 0
Painting a small room, 0, 0
Monthly house maintenance tasks, 0, 0
Learn to knit or crochet, 0, 0
Learn basic car maintenance, 0, 0
Plan a visit to a historical landmark, 0, 0
Attend a local photography class, 0, 0
Create a vision board, 0, 0
Attend a technology conference, 0, 0
Sign up for a weekend yoga class, 0, 0
Attend a community event, 0, 0
Take a cooking class focused on international cuisine, 0, 0
Learn basic car repair skills, 0, 0
Try a new type of ethnic dessert, 0, 0
Designing a basic webpage, 0, 0
Organizing a closet, 0, 0
Go for a 30-minute jog, 0, 0
Donate unused items to a charity, 0, 0
Join a local knitting club, 0, 0
Attend a language learning meetup, 0, 0
Attend a local comedy improv show, 0, 0
Attend a local comedy improv class, 0, 0
Explore a new neighborhood, 0, 0
Learn basic sign language, 0, 0
Attend a local jazz music workshop, 0, 0
Making a simple sandwich, 0, 0
Volunteer at a local food pantry, 0, 0
Try a new type of smoothie, 0, 0
Plan a day of geocaching, 0, 0
Plan a visit to a local orchard or farm, 0, 0
Attend a local fashion show, 0, 0
Plan a weekend getaway, 0, 0
Planning and executing a cross-country road trip, 0, 0
orking out at the gym, 0, 0
Learn to play a strategy board game, 0, 0
Learn basic self-defense techniques, 0, 0
Attend a local music festival, 0, 0
Learn to juggle, 0, 0
Take a cooking class focused on street food, 0, 0
Learn basic origami techniques, 0, 0
Sewing a button on a shirt, 0, 0
Putting together a jigsaw puzzle, 0, 0
Folding a piece of paper, 0, 0
Try a new type of vegetable gardening, 0, 0
Renew driver's license at the DMV, 0, 0
Designing and executing a marketing campaign, 0, 0
Pick up sister from airport tonight, 0, 0
Go for a jog, 0, 0
Try a new type of salad, 0, 0
Plan a visit to a national park, 0, 0
Weekly team meetings at work, 0, 0
Attend a networking event, 0, 0
Learn a new dance, 0, 0
Write and record a podcast episode, 0, 0
Learn to play chess, 0, 0
Setting an alarm clock, 0, 0
Attend a live jazz performance, 0, 0
Take a day trip to a botanical garden, 0, 0
Plan a visit to a cultural heritage festival, 0, 0
Developing a complex software application, 0, 0
Volunteer at a youth mentorship program, 0, 0
Collaborating on a creative project with friends, 0, 0
Building a computer from individual components, 0, 0
Attend a local theater production, 0, 0
Cleaning a public space (e.g., a park), 0, 0
Sweeping a small room, 0, 0
Studying at the library, 0, 0
Putting on shoes and socks, 0, 0
Try a new type of homemade jam or jelly, 0, 0
Annual holiday preparations, 0, 0
Try a new type of dessert, 0, 0
Attend a local cultural festival, 0, 0
Take a day trip to a wildlife sanctuary, 0, 0
Update resume, 0, 0
Attending a community meeting, 0, 0
Learn basic woodworking skills, 0, 0
Do spring clean up, 0, 0
Checking the mailbox, 0, 0
Plan a visit to an observatory, 0, 0
Crafting a handmade greeting card, 0, 0
Monthly goal-setting and reflection, 0, 0
Unpacking groceries, 0, 0
Explore a nearby river or lake, 0, 0
Try a new type of sushi, 0, 0
Organizing a small drawer, 0, 0
Bi-weekly laundry routine, 0, 0
Planning a family vacation with multiple destinations, 0, 0
Organize your closet, 0, 0
Change kitchen bulb, 0, 0
Researching and writing a blog post, 0, 0
Learn to make homemade bread, 0, 0
Join a local trivia night, 0, 0
Volunteer for a coding hackathon, 0, 0
Clean up room by tomorrow morning, 0, 0
Brushing teeth, 0, 0
Plan a family game night, 0, 0
Send out thank-you cards for recent gifts, 0, 0
Volunteer for a coding education program, 0, 0
Join a local painting class, 0, 0
Baking a multi-layered cake, 0, 0
Post about recent accomplishment on linkedin, 0, 0
Take a pottery class, 0, 0
Designing and building a model airplane, 0, 0
Plan a visit to a historical mansion, 0, 0
Join a local martial arts class, 0, 0
Try a new type of exotic drink, 0, 0
Attend a local rock climbing competition, 0, 0
Attend a local hip-hop dance class, 0, 0
Volunteer for a community development project, 0, 0
Try a new type of exotic fruit, 0, 0
Change car tires to winter tires, 0, 0
Set up a composting system in the backyard, 0, 0
Join a local archery club, 0, 0
Boiling an egg, 0, 0
Join a local roller skating club, 0, 0
Plan a visit to a historical reenactment event, 0, 0
Join a local painting painting class, 0, 0
